SEQUÊNCIA,DATAFATO,HORAFATO,GRUPOFATO,TIPOENQUADRAMENTO,TIPOFATO,MUNICIPIOFATO,LOCALFATO,BAIRRO,QUANTIDADEVÍTIMAS,IDADEVÍTIMA,SEXOVÍTIMA,CORVÍTIMA,data_nova,mes,dia,ano,mes_ano,data_tempo_num,hora,periodo,periodo1,mes_ano2
1445,01/01/2024,12:00:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-01,1,1,2024,768,1960-01-01T12:00:00Z,12,12,2,jan 2024
2226,01/01/2024,20:00:54,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,52,Masculino,Sem informação,2024-01-01,1,1,2024,768,1960-01-01T20:00:54Z,20,20,3,jan 2024
2615,02/01/2024,01:22:00,CRIMES,FURTO/ARROMBAMENTO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-02,1,2,2024,768,1960-01-01T01:22:00Z,1,1,9,jan 2024
2768,02/01/2024,07:00:00,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,35,Masculino,Sem informação,2024-01-02,1,2,2024,768,1960-01-01T07:00:00Z,7,7,1,jan 2024
2798,02/01/2024,08:00:00,CRIMES,DISPARO DE ARMA DE FOGO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,0,NA,,,2024-01-02,1,2,2024,768,1960-01-01T08:00:00Z,8,8,1,jan 2024
2915,02/01/2024,08:23:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,35,Feminino,Sem informação,2024-01-02,1,2,2024,768,1960-01-01T08:23:00Z,8,8,1,jan 2024
3237,02/01/2024,10:20:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,29,Feminino,Branca,2024-01-02,1,2,2024,768,1960-01-01T10:20:00Z,10,10,1,jan 2024
3710,02/01/2024,14:49:14,CRIMES,APROPRIACAO INDEBITA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,29,Masculino,Sem informação,2024-01-02,1,2,2024,768,1960-01-01T14:49:14Z,14,14,2,jan 2024
3768,02/01/2024,15:00:00,CONTRAVENCOES,CRUELDADE CONTRA ANIMAIS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-01-02,1,2,2024,768,1960-01-01T15:00:00Z,15,15,2,jan 2024
4239,02/01/2024,19:05:00,CRIMES,DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,27,Masculino,Parda,2024-01-02,1,2,2024,768,1960-01-01T19:05:00Z,19,19,3,jan 2024
