TIPOENQUADRAMENTO,mes_ano2,total
ABANDONO DE IDOSO,jan 2024,1
ABANDONO DE IDOSO,mar 2024,1
ABANDONO DE IDOSO,abr 2024,1
ABANDONO DE IDOSO,abr 2025,1
ABANDONO DE IDOSO,jul 2025,1
ABANDONO DE IDOSO,ago 2025,1
ABANDONO DE IDOSO,nov 2025,1
ABANDONO DE IDOSO,mar 2026,1
ABANDONO DE INCAPAZ,jul 2024,1
ABANDONO DE INCAPAZ,set 2024,1
ABANDONO DE INCAPAZ,mai 2025,1
ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,jul 2025,1
ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,out 2025,1
ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,fev 2026,1
ADULTERACAO DE SINAL IDENTIFICADOR DE VEICULO AUTOMOTOR,mar 2026,1
AMEACA,jan 2024,20
AMEACA,fev 2024,15
AMEACA,mar 2024,25
AMEACA,abr 2024,16
AMEACA,mai 2024,10
AMEACA,jun 2024,51
AMEACA,jul 2024,26
AMEACA,ago 2024,22
AMEACA,set 2024,21
AMEACA,out 2024,14
AMEACA,nov 2024,26
AMEACA,dez 2024,22
AMEACA,jan 2025,22
AMEACA,fev 2025,20
AMEACA,mar 2025,14
AMEACA,abr 2025,16
AMEACA,mai 2025,16
AMEACA,jun 2025,12
AMEACA,jul 2025,23
AMEACA,ago 2025,20
AMEACA,set 2025,9
AMEACA,out 2025,20
AMEACA,nov 2025,20
AMEACA,dez 2025,15
AMEACA,jan 2026,18
AMEACA,fev 2026,9
AMEACA,mar 2026,25
AMEACA,abr 2026,21
AMEACA,mai 2026,15
AMEACA A ESTABELECIMENTO DE ENSINO,mar 2026,1
APROPRIACAO COISA HAVIDA POR ERRO CASO FORTUITO OU FORCA DA NATUREZA,fev 2024,1
APROPRIACAO COISA HAVIDA POR ERRO CASO FORTUITO OU FORCA DA NATUREZA,nov 2024,1
APROPRIACAO COISA HAVIDA POR ERRO CASO FORTUITO OU FORCA DA NATUREZA,dez 2024,1
APROPRIACAO COISA HAVIDA POR ERRO CASO FORTUITO OU FORCA DA NATUREZA,nov 2025,1
APROPRIACAO COISA HAVIDA POR ERRO CASO FORTUITO OU FORCA DA NATUREZA,fev 2026,1
APROPRIACAO COISA HAVIDA POR ERRO CASO FORTUITO OU FORCA DA NATUREZA,abr 2026,2
APROPRIACAO DE COISA ACHADA,abr 2024,1
APROPRIACAO DE COISA ACHADA,jun 2024,1
APROPRIACAO DE COISA ACHADA,nov 2024,1
